_id,time,high,low,open,volumefrom,volumeto,close,symbol,read_date,price_f_change
ObjectId("5bcb3f3e72039d7e219d390a"),1539993600,0.2419,0.2232,0.2289,412525.42,94674.58,0.2285,MAN,20-10-2018,-0.001311188811188788
ObjectId("5bcb3efb72039d7e219d2926"),1539993600,0.001104,0.001103,0.001104,0,0,0.001103,GRN,20-10-2018,0.002727272727272695
ObjectId("5bcb3f4c72039d7e219d3e56"),1539993600,0.003026,0.003023,0.003026,0,0,0.003023,VIT,20-10-2018,0.01306970509383377
ObjectId("5b9abe8572039d5183328c8f"),1536796800,0.6477,0.5991,0.5994,545845.66,351033.34,0.6315,ARK,13-09-2018,0.07252038043478254
ObjectId("5b9abe8572039d5183328c91"),1536364800,0.8463,0.8122,0.8159,266793.74,216689.88,0.8122,DYN,08-09-2018,
ObjectId("5b9abe8572039d5183328c93"),1536451200,0.8899,0.7943,0.8186,153433.11,125416.22,0.8174,DYN,09-09-2018,0.006402363949766046
ObjectId("5b9abe8572039d5183328c95"),1536537600,0.8981,0.8064,0.8272,84736.4,70415.95,0.831,DYN,10-09-2018,0.016638120871054495
ObjectId("5b9abe8572039d5183328c97"),1536624000,0.8908,0.8002,0.8272,192230.84,160839.54,0.8367,DYN,11-09-2018,0.0068592057761733315
ObjectId("5b9abe8672039d5183328ceb"),1536624000,0.007744,0.00447,0.007744,25452.02,176.26,0.006925,ZSE,11-09-2018,0.10605334611084485
ObjectId("5b9abe8872039d5183328da1"),1536710400,0.3612,0.2535,0.2915,253486.13,73891.21,0.2915,HPC,12-09-2018,0.006560773480662836
ObjectId("5b9abe8872039d5183328da3"),1536796800,0.3548,0.2772,0.2968,120504.82,34211.32,0.2772,HPC,13-09-2018,-0.04905660377358484
ObjectId("5b9abe8a72039d5183328e61"),1536710400,0.0005703,0.0005703,0.0005703,7395.92,4.22,0.0005703,VOLT,12-09-2018,0.0065301800211790256
